"bates_number","processed"
"HOUSE_OVERSIGHT_011277",true
"HOUSE_OVERSIGHT_011280",true
"HOUSE_OVERSIGHT_011904",true
"HOUSE_OVERSIGHT_011907",true
"HOUSE_OVERSIGHT_012037",true
"HOUSE_OVERSIGHT_012044",true
"HOUSE_OVERSIGHT_012102",true
"HOUSE_OVERSIGHT_012684",true
"HOUSE_OVERSIGHT_012685",true
"HOUSE_OVERSIGHT_012711",true
"HOUSE_OVERSIGHT_012898",true
"HOUSE_OVERSIGHT_013405",true
"HOUSE_OVERSIGHT_013415",true
"HOUSE_OVERSIGHT_013460",true
"HOUSE_OVERSIGHT_013482",true
"HOUSE_OVERSIGHT_013484",true
"HOUSE_OVERSIGHT_014310",true
"HOUSE_OVERSIGHT_014312",true
"HOUSE_OVERSIGHT_014397",true
"HOUSE_OVERSIGHT_014516",true
"HOUSE_OVERSIGHT_014523",true
"HOUSE_OVERSIGHT_014525",false
"HOUSE_OVERSIGHT_014695",false
"HOUSE_OVERSIGHT_014717",false
"HOUSE_OVERSIGHT_014857",false
"HOUSE_OVERSIGHT_014860",false
"HOUSE_OVERSIGHT_015002",false
"HOUSE_OVERSIGHT_015015",false
"HOUSE_OVERSIGHT_016218",false
"HOUSE_OVERSIGHT_016413",false
"HOUSE_OVERSIGHT_016692",false
"HOUSE_OVERSIGHT_016693",false
"HOUSE_OVERSIGHT_016801",false
"HOUSE_OVERSIGHT_017523",false
"HOUSE_OVERSIGHT_017574",false
"HOUSE_OVERSIGHT_017581",false
"HOUSE_OVERSIGHT_017590",false
"HOUSE_OVERSIGHT_017827",false
"HOUSE_OVERSIGHT_018045",false
"HOUSE_OVERSIGHT_018084",false
"HOUSE_OVERSIGHT_018119",false
"HOUSE_OVERSIGHT_018158",false
"HOUSE_OVERSIGHT_018197",false
"HOUSE_OVERSIGHT_019105",false
"HOUSE_OVERSIGHT_019203",false
"HOUSE_OVERSIGHT_019211",false
"HOUSE_OVERSIGHT_019218",false
"HOUSE_OVERSIGHT_019219",false
"HOUSE_OVERSIGHT_019302",false
"HOUSE_OVERSIGHT_019305",false
"HOUSE_OVERSIGHT_019308",false
"HOUSE_OVERSIGHT_019312",false
"HOUSE_OVERSIGHT_019316",false
"HOUSE_OVERSIGHT_019321",false
"HOUSE_OVERSIGHT_019326",false
"HOUSE_OVERSIGHT_019330",false
"HOUSE_OVERSIGHT_019334",false
"HOUSE_OVERSIGHT_019338",false
"HOUSE_OVERSIGHT_019343",false
"HOUSE_OVERSIGHT_019348",false
"HOUSE_OVERSIGHT_019407",false
"HOUSE_OVERSIGHT_019409",false
"HOUSE_OVERSIGHT_019465",false
"HOUSE_OVERSIGHT_019467",false
"HOUSE_OVERSIGHT_019845",false
"HOUSE_OVERSIGHT_019873",false
"HOUSE_OVERSIGHT_020143",false
"HOUSE_OVERSIGHT_020437",false
"HOUSE_OVERSIGHT_020440",false
"HOUSE_OVERSIGHT_020443",false
"HOUSE_OVERSIGHT_020446",false
"HOUSE_OVERSIGHT_020660",false
"HOUSE_OVERSIGHT_020666",false
"HOUSE_OVERSIGHT_020815",false
"HOUSE_OVERSIGHT_020822",false
"HOUSE_OVERSIGHT_021096",false
"HOUSE_OVERSIGHT_021106",false
"HOUSE_OVERSIGHT_021113",false
"HOUSE_OVERSIGHT_021216",false
"HOUSE_OVERSIGHT_021223",false
"HOUSE_OVERSIGHT_021230",false
"HOUSE_OVERSIGHT_021231",false
"HOUSE_OVERSIGHT_021235",false
"HOUSE_OVERSIGHT_021241",false
"HOUSE_OVERSIGHT_021399",false
"HOUSE_OVERSIGHT_021400",false
"HOUSE_OVERSIGHT_021403",false
"HOUSE_OVERSIGHT_021406",false
"HOUSE_OVERSIGHT_021408",false
"HOUSE_OVERSIGHT_021416",false
"HOUSE_OVERSIGHT_021425",false
"HOUSE_OVERSIGHT_021729",false
"HOUSE_OVERSIGHT_021740",false
"HOUSE_OVERSIGHT_021749",false
"HOUSE_OVERSIGHT_021761",false
"HOUSE_OVERSIGHT_021764",false
"HOUSE_OVERSIGHT_021790",false
"HOUSE_OVERSIGHT_021794",false
"HOUSE_OVERSIGHT_021806",false
"HOUSE_OVERSIGHT_021808",false
"HOUSE_OVERSIGHT_021811",false
"HOUSE_OVERSIGHT_021814",false
"HOUSE_OVERSIGHT_021818",false
"HOUSE_OVERSIGHT_021823",false
"HOUSE_OVERSIGHT_021956",false
"HOUSE_OVERSIGHT_022187",false
"HOUSE_OVERSIGHT_022189",false
"HOUSE_OVERSIGHT_022190",false
"HOUSE_OVERSIGHT_022193",false
"HOUSE_OVERSIGHT_022197",false
"HOUSE_OVERSIGHT_022202",false
"HOUSE_OVERSIGHT_022203",false
"HOUSE_OVERSIGHT_022207",false
"HOUSE_OVERSIGHT_022214",false
"HOUSE_OVERSIGHT_022216",false
"HOUSE_OVERSIGHT_022219",false
"HOUSE_OVERSIGHT_022223",false
"HOUSE_OVERSIGHT_022226",false
"HOUSE_OVERSIGHT_022230",false
"HOUSE_OVERSIGHT_022234",false
"HOUSE_OVERSIGHT_022245",false
"HOUSE_OVERSIGHT_022247",false
"HOUSE_OVERSIGHT_022258",false
"HOUSE_OVERSIGHT_022260",false
"HOUSE_OVERSIGHT_022262",false
"HOUSE_OVERSIGHT_022265",false
"HOUSE_OVERSIGHT_022272",false
"HOUSE_OVERSIGHT_022275",false
"HOUSE_OVERSIGHT_022322",false
"HOUSE_OVERSIGHT_022346",false
"HOUSE_OVERSIGHT_022348",false
"HOUSE_OVERSIGHT_022359",false
"HOUSE_OVERSIGHT_022396",false
"HOUSE_OVERSIGHT_022397",false
"HOUSE_OVERSIGHT_022443",false
"HOUSE_OVERSIGHT_022444",false
"HOUSE_OVERSIGHT_022624",false
"HOUSE_OVERSIGHT_022656",false
"HOUSE_OVERSIGHT_022658",false
"HOUSE_OVERSIGHT_022660",false
"HOUSE_OVERSIGHT_022661",false
"HOUSE_OVERSIGHT_022663",false
"HOUSE_OVERSIGHT_022665",false
"HOUSE_OVERSIGHT_022667",false
"HOUSE_OVERSIGHT_022668",false
"HOUSE_OVERSIGHT_022670",false
"HOUSE_OVERSIGHT_022673",false
"HOUSE_OVERSIGHT_022684",false
"HOUSE_OVERSIGHT_022695",false
"HOUSE_OVERSIGHT_022766",false
"HOUSE_OVERSIGHT_022770",false
"HOUSE_OVERSIGHT_022771",false
"HOUSE_OVERSIGHT_022773",false
"HOUSE_OVERSIGHT_022776",false
"HOUSE_OVERSIGHT_022801",false
"HOUSE_OVERSIGHT_022805",false
"HOUSE_OVERSIGHT_022806",false
"HOUSE_OVERSIGHT_022808",false
"HOUSE_OVERSIGHT_022815",false
"HOUSE_OVERSIGHT_022817",false
"HOUSE_OVERSIGHT_022819",false
"HOUSE_OVERSIGHT_022822",false
"HOUSE_OVERSIGHT_022824",false
"HOUSE_OVERSIGHT_022825",false
"HOUSE_OVERSIGHT_022827",false
"HOUSE_OVERSIGHT_022829",false
"HOUSE_OVERSIGHT_022831",false
"HOUSE_OVERSIGHT_022834",false
"HOUSE_OVERSIGHT_022835",false
"HOUSE_OVERSIGHT_022837",false
"HOUSE_OVERSIGHT_022839",false
"HOUSE_OVERSIGHT_022841",false
"HOUSE_OVERSIGHT_022926",false
"HOUSE_OVERSIGHT_022936",false
"HOUSE_OVERSIGHT_022938",false
"HOUSE_OVERSIGHT_022941",false
"HOUSE_OVERSIGHT_022943",false
"HOUSE_OVERSIGHT_022944",false
"HOUSE_OVERSIGHT_022945",false
"HOUSE_OVERSIGHT_022947",false
"HOUSE_OVERSIGHT_022949",false
"HOUSE_OVERSIGHT_022977",false
"HOUSE_OVERSIGHT_022994",false
"HOUSE_OVERSIGHT_022998",false
"HOUSE_OVERSIGHT_023001",false
"HOUSE_OVERSIGHT_023018",false
"HOUSE_OVERSIGHT_023020",false
"HOUSE_OVERSIGHT_023022",false
"HOUSE_OVERSIGHT_023024",false
"HOUSE_OVERSIGHT_023026",false
"HOUSE_OVERSIGHT_023028",false
"HOUSE_OVERSIGHT_023044",false
"HOUSE_OVERSIGHT_023054",false
"HOUSE_OVERSIGHT_023067",false
"HOUSE_OVERSIGHT_023101",false
"HOUSE_OVERSIGHT_023126",false
"HOUSE_OVERSIGHT_023198",false
"HOUSE_OVERSIGHT_023201",false
"HOUSE_OVERSIGHT_023202",false
"HOUSE_OVERSIGHT_023205",false
"HOUSE_OVERSIGHT_023291",false
"HOUSE_OVERSIGHT_023418",false
"HOUSE_OVERSIGHT_023426",false
"HOUSE_OVERSIGHT_023427",false
"HOUSE_OVERSIGHT_023429",false
"HOUSE_OVERSIGHT_023431",false
"HOUSE_OVERSIGHT_023433",false
"HOUSE_OVERSIGHT_023440",false
"HOUSE_OVERSIGHT_023448",false
"HOUSE_OVERSIGHT_023545",false
"HOUSE_OVERSIGHT_023548",false
"HOUSE_OVERSIGHT_023550",false
"HOUSE_OVERSIGHT_023635",false
"HOUSE_OVERSIGHT_023661",false
"HOUSE_OVERSIGHT_023717",false
"HOUSE_OVERSIGHT_024251",false
"HOUSE_OVERSIGHT_024300",false
"HOUSE_OVERSIGHT_024384",false
"HOUSE_OVERSIGHT_024395",false
"HOUSE_OVERSIGHT_024407",false
"HOUSE_OVERSIGHT_024419",false
"HOUSE_OVERSIGHT_024624",false
"HOUSE_OVERSIGHT_024923",false
"HOUSE_OVERSIGHT_025028",false
"HOUSE_OVERSIGHT_025041",false
"HOUSE_OVERSIGHT_025100",false
"HOUSE_OVERSIGHT_025101",false
"HOUSE_OVERSIGHT_025105",false
"HOUSE_OVERSIGHT_025110",false
"HOUSE_OVERSIGHT_025116",false
"HOUSE_OVERSIGHT_025118",false
"HOUSE_OVERSIGHT_025121",false
"HOUSE_OVERSIGHT_025124",false
"HOUSE_OVERSIGHT_025128",false
"HOUSE_OVERSIGHT_025133",false
